"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R17";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"0";;;
2;"R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"420";;;
3;"MonoJack1";"CL13845G Mono Jack";1;"~";;;
4;"D1";"LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm";1;"LED";;;
5;"R11,R13,R8,R7,R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";5;"1k";;;
6;"R5,R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"20M";;;
7;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"470k";;;
8;"C8,C1";"C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal";2;"100u";;;
9;"R15,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"10k";;;
10;"J4,J3";"PinHeader_1x01_P1.27mm_Vertical";2;"Conn_01x01_Pin";;;
11;"C11,C5";"C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal";2;"47n";;;
12;"C12,C4";"C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal";2;"100n";;;
13;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"150";;;
14;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1.8k";;;
15;"C2";"C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal";1;"2n";;;
16;"C3";"C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal";1;"10n";;;
17;"C10,C9";"C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal";2;"26n";;;
18;"J2";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"ANT_OUT";;;
19;"J1";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"ANT_IN";;;
20;"L1";"L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1";1;"L";;;
21;"U2,U1";"DIP-8_W7.62mm";2;"TL071";;;
22;"C7,C6";"C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal";2;"200n";;;
23;"R9,R10";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"33k";;;
24;"R12";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"17.5k";;;
